time_s,x_m,y_m,z_m,dist_m
10.467,-0.629020,-1.848558,6.513034,253.924565
10.500,0.419987,2.319508,6.306402,258.227574
10.533,0.633956,1.888732,6.509050,258.749510
10.567,-0.489651,-1.975370,6.469291,262.773855
10.600,0.381614,0.445769,7.010441,265.403277
10.633,-0.451936,-1.931124,6.456954,267.982186
10.667,0.361131,2.134991,6.353114,272.130095
10.700,0.470757,2.068653,6.397843,272.265813
10.733,-0.689257,-1.811740,6.425512,276.315979
10.767,-0.857127,-1.938909,6.375505,276.532435
10.800,-0.659257,-1.678575,6.557284,276.906560
10.833,1.054609,1.539133,6.490880,280.552845
10.867,0.834950,1.601273,6.495740,280.781176
10.900,0.635525,1.660644,6.496381,280.989252
10.933,0.704716,1.891101,6.378341,281.257266
10.967,0.546784,1.830052,6.428650,281.433902
11.000,0.705074,1.625785,6.483324,281.698042
11.033,-0.795594,-1.636318,6.466767,285.288808
11.067,0.702369,1.553479,6.517849,288.813195
11.100,0.759864,1.739638,6.422478,289.030120
11.133,-0.700420,-1.498814,6.496304,292.583351
11.167,0.321042,0.526677,6.832448,294.876600
11.200,0.681666,1.634169,6.423382,296.111072
11.233,-0.740535,-1.603423,6.418232,299.647268
11.267,-0.820466,-1.526114,6.391770,299.761574
11.300,0.764761,1.799406,6.288962,303.447032
11.333,0.843384,1.777270,6.275596,303.529797
11.367,-0.932704,-1.744715,6.282639,307.474277
11.400,0.667516,1.785252,6.310738,311.350120
11.433,0.816695,1.783092,6.232695,311.518494
11.467,0.629159,1.802065,6.294805,311.716957
11.500,0.793851,1.702192,6.310016,311.910166
11.533,-0.950189,-1.787593,6.214365,315.812655
11.567,0.854847,1.531865,6.309764,319.592344
11.600,0.628986,1.831940,6.185828,319.987841
11.633,0.802223,1.683264,6.204643,320.216904
11.667,0.770757,1.730461,6.186107,320.276580
11.700,0.710900,1.726883,6.202728,320.338804
11.733,-0.975453,-1.530792,6.197433,324.007082
11.767,0.736367,1.703940,6.180927,327.666875
11.800,-0.741486,-1.500621,6.223434,331.196048
11.833,-0.895911,-1.660102,6.084089,331.458152
11.867,-0.864402,-1.778585,6.044016,331.587135
11.900,0.893343,1.740594,6.049371,335.520876
11.933,0.961751,1.685752,6.058524,335.609029
11.967,-1.023593,-1.811508,6.007228,339.630850
12.000,-0.826204,-1.668480,6.042239,339.877112
12.033,-0.819479,-1.424465,6.178355,340.156604
12.067,0.862544,1.671924,6.061200,343.682304
12.100,-0.815568,-1.671146,6.001594,347.423391
12.133,1.011145,1.639463,5.984675,351.204567
12.167,0.988390,1.558522,6.014054,351.293630
12.200,1.076292,1.697787,5.923458,351.481590
12.233,-0.926865,-1.685406,5.957085,355.413481
12.267,-1.075938,-1.639249,5.908528,355.576916
12.300,1.047826,1.713437,5.910090,359.545653
12.333,-1.096853,-1.688109,5.875867,363.567013
12.367,-0.983641,-1.651262,5.917851,363.693256
12.400,-1.214241,-1.756921,5.814109,363.967305
12.433,1.127696,1.809276,5.794786,368.233779
12.467,-1.150603,-1.695166,5.838252,372.413928
12.500,-1.110151,-1.631542,5.852302,372.490620
12.533,-1.179294,-1.639668,5.829675,372.563824
12.567,-1.147513,-1.558836,5.867038,372.658376
12.600,1.166735,1.692114,5.770170,376.650092
12.633,-1.003050,-1.686913,5.845226,380.666486
12.667,1.123551,1.735346,5.765279,384.696459
12.700,-1.000897,-1.664525,5.822122,388.705903
12.733,-1.148918,-1.724592,5.749767,388.881270
12.767,1.061332,1.699770,5.761024,392.957001
12.800,1.103062,1.564545,5.789676,393.101389
12.833,-1.152750,-1.548490,5.780452,396.945835
12.867,1.033424,1.601992,5.775402,400.780535
12.900,-1.144569,-1.738170,5.688322,404.769008
12.933,1.105703,1.763033,5.661046,408.931086
12.967,-1.108890,-1.522527,5.767484,412.894753
13.000,1.167709,1.526326,5.754728,416.699825
13.033,-1.223312,-1.632434,5.635463,420.663278
13.067,-1.180214,-1.512431,5.686966,420.800794
13.100,1.089696,1.551157,5.674446,424.613695
13.133,1.077473,1.586186,5.666904,424.651555
13.167,1.066036,1.567541,5.680037,424.677068
13.200,-1.155260,-1.500618,5.676970,428.464913
13.233,1.277747,1.554823,5.591909,432.371634
13.267,-1.252019,-1.543325,5.608037,436.371446
13.300,1.070656,1.595120,5.627666,440.275935
13.333,-1.344320,-1.572258,5.524086,444.260295
13.367,1.103360,1.586015,5.594918,448.256649
13.400,-1.140289,-1.418212,5.614333,452.006279
13.433,1.148680,1.647784,5.518557,455.833664
13.467,0.942533,1.580661,5.569689,456.056411
13.500,-0.975241,-1.658223,5.514311,459.820889
13.533,-1.115564,-1.572225,5.514562,459.985469
13.567,1.053672,1.609581,5.529201,463.836402
13.600,-1.082896,-1.415795,5.577194,467.540471
13.633,-1.004563,-1.426919,5.574809,467.619626
13.667,-0.873740,-1.536244,5.548459,467.792140
13.700,0.867209,1.508113,5.581092,471.299286
13.733,0.887346,1.579084,5.544987,471.381420
